date,location,name,organization,type of death,url
"May 21, 2015","Dhamar, Yemen",Abdullah Qabil,"Yemen Youth TV, Belqees TV",Crossfire,https://cpj.org/data/people/abdullah-qabil/index.php
"January 24, 2003","Baidoa, Somalia",Abdullahi Madkeer,DMC Radio,Dangerous Assignment,https://cpj.org/data/people/abdullahi-madkeer/index.php
"September 13, 2017","Beledweyne, Somalia",Abdullahi Osman Moalim,"Jubbaland TV, Codka Hiraan",Murder,https://cpj.org/data/people/abdullahi-osman-moalim/index.php
"August 11, 2009","Makhachkala , Russia",Abdulmalik Akhmedilov,Hakikat and Sogratl,Murder,https://cpj.org/data/people/abdulmalik-akhmedilov-1/index.php
"February 5, 2007","Baghdad, Iraq",Abdulrazak Hashim Ayal al-Khakani,Jumhuriyat al-Iraq,Murder,https://cpj.org/data/people/abdulrazak-hashim-ayal-al-khakani/index.php
"May 16, 2007","Jowhar, Somalia",Abshir Ali Gabre,Radio Jowhar,Crossfire,https://cpj.org/data/people/abshir-ali-gabre/index.php
"February 28, 2012","Mogadishu, Somalia",Abukar Hassan Mohamoud,Somaliweyn Radio,Murder,https://cpj.org/data/people/abukar-hassan-mohamoud/index.php
"January 25, 2015","Western Bahr al Ghazal state, South Sudan",Adam Juma,Raja FM,Murder,https://cpj.org/data/people/adam-juma/index.php
"August 26, 2015","Smith Mountain Lake, Virginia, USA",Adam Ward,WDBJ7,Dangerous Assignment,https://cpj.org/data/people/adam-ward/index.php
"July 29, 2006","Baghdad, Iraq",Adel Naji al-Mansouri,Al-Alam,Murder,https://cpj.org/data/people/adel-naji-al-mansouri/index.php
August 2015,"Mosul, Iraq",Adel Sayegh,Salaheddin TV,Murder,https://cpj.org/data/people/adel-sayegh/index.php
"June 14, 2001","Algiers, Algeria",Adel Zerrouk,Al-Rai,Dangerous Assignment,https://cpj.org/data/people/adel-zerrouk/index.php
"March 17, 1995","Baku, Azerbaijan",Adil Bunyatov,Reuters TV and Turan News Agency,Crossfire,https://cpj.org/data/people/adil-bunyatov/index.php
"May 9, 2004","Grozny, Russia",Adlan Khasanov,Reuters,Dangerous Assignment,https://cpj.org/data/people/adlan-khasanov/index.php
"July 23, 2005","Baghdad, Iraq",Adnan al-Bayati,TG3,Murder,https://cpj.org/data/people/adnan-al-bayati/index.php
"July 27, 2007","Baghdad, Iraq",Adnan al-Safi,Al-Anwar,Murder,https://cpj.org/data/people/adnan-al-safi/index.php
"February 23, 2006","Samarra, Iraq",Adnan Khairallah,Wasan Productions and Al-Arabiya,Murder,https://cpj.org/data/people/adnan-khairallah/index.php
