date,location,name,organization,type of death,url
"May 13, 2002","Pagadian City, Philippines",Edgar Damalerio,Zamboanga Scribe and DXKP Radio,Murder,https://cpj.org/data/people/edgar-damalerio/index.php
"October 5- 6, 2017","San Luis Potosí, Mexico",Edgar Daniel Esqueda Castro,Freelance,Murder,https://cpj.org/data/people/edgar-daniel-esqueda-castro/index.php
"October 29, 1997","Campo Grande, Brazil",Edgar Lopes de Faria,FM Capital,Murder,https://cpj.org/data/people/edgar-lopes-de-faria/index.php
"June 19, 2014","Concepción, Paraguay",Edgar Pantaleón Fernández Fleitas,Belén Comunicaciones,Murder,https://cpj.org/data/people/edgar-pantaleon-fernandez-fleitas/index.php
"June 15, 2011","Serra do Mel, Brazil",Edinaldo Filgueira,Jornal o Serrano,Murder,https://cpj.org/data/people/edinaldo-filgueira/index.php
"September 11, 2013","Puerto Berrío, Colombia",Édison Alberto Molina,Puerto Berrío Stereo,Murder,https://cpj.org/data/people/edison-alberto-molina/index.php
"September 18, 2001","Reftinsky, Sverdlovsk Region, Russia",Eduard Markevich,Novy Reft,Murder,https://cpj.org/data/people/eduard-markevich/index.php
"November 21, 2012","Campo Grande, Brazil",Eduardo Carvalho,Última Hora News,Murder,https://cpj.org/data/people/eduardo-carvalho/index.php
"March 31, 2007","Darwendale, Zimbabwe",Edward Chikomba,Zimbabwe Broadcasting Corporation (former),Murder,https://cpj.org/data/people/edward-chikomba/index.php
"April 13, 1998","Banbanduhun, Sierra Leone",Edward Smith,BBC,Crossfire,https://cpj.org/data/people/edward-smith/index.php
"June 28, 2002","Arauca, Colombia",Efraín Varela Noriega,Radio Meridiano-70,Murder,https://cpj.org/data/people/efrain-varela-noriega/index.php
"September 6, 2010","Quetta, Pakistan",Ejaz Raisani,Samaa TV,Dangerous Assignment,https://cpj.org/data/people/ejaz-raisani/index.php
"May 28, 2010","Lahore, Pakistan",Ejazul Haq,City-42 TV,Dangerous Assignment,https://cpj.org/data/people/ejazul-haq/index.php
"February 5, 2016","Conakry, Guinea",El-Hadj Mohamed Diallo,"Guinée7, Afrik",Dangerous Assignment,https://cpj.org/data/people/el-hadj-mohamed-diallo/index.php
"October 19, 2004","Tandag , Philippines",Eldy Sablas (aka Eldy Gabinales),Radio DXJR-FM,Murder,https://cpj.org/data/people/eldy-sablas-aka-eldy-gabinales/index.php
"June 19, 2016","Oaxaca, Mexico",Elidio Ramos Zárate,El Sur,Murder,https://cpj.org/data/people/elidio-ramos-zarate/index.php
"May 25, 2009","Gómez Palacio, Mexico",Eliseo Barrón Hernández,La Opinión,Murder,https://cpj.org/data/people/eliseo-barron-hernandez/index.php
"March 2, 2005","Baku, Azerbaijan",Elmar Huseynov,Monitor,Murder,https://cpj.org/data/people/elmar-huseynov/index.php
"June 17, 2004","General Santos, Philippines",Elpidio Binoya,Radyo Natin,Murder,https://cpj.org/data/people/elpidio-binoya/index.php
"August 23, 1993","Kuito, Angola",Elpidio Inacio,Televisao Popular de Angola,Crossfire,https://cpj.org/data/people/elpidio-inacio/index.php
"January 7, 2015","Paris, France",Elsa Cayat,Freelance,Murder,https://cpj.org/data/people/elsa-cayat/index.php
"April 24, 1994","Kigali, Rwanda",Emmanuel-Damien Rukondo,Rubyiruko-Rubanda,Murder,https://cpj.org/data/people/emmanuel-damien-rukondo/index.php
"January 20, 2012","Kano, Nigeria",Enenche Akogwu,Channels TV,Murder,https://cpj.org/data/people/enenche-akogwu/index.php
"August 26, 2004","an area near Najaf, Iraq",Enzo Baldoni,freelance,Murder,https://cpj.org/data/people/enzo-baldoni/index.php
"December 12, 1995","Armenia, Colombia",Ernesto Acero Cadena,Informador Socioeconómico,Murder,https://cpj.org/data/people/ernesto-acero-cadena/index.php
"November 23, 2009","Ampatuan, Philippines",Ernesto Maravilla,Bombo Radyo,Murder,https://cpj.org/data/people/ernesto-maravilla/index.php
"February 23, 2009","Oroquieta City, Philippines",Ernie Rollin,DXSY Radio,Murder,https://cpj.org/data/people/ernie-rollin/index.php
"September 8, 1994","Gebze, Turkey",Erol Akgun,Devrimci Cozum,Murder,https://cpj.org/data/people/erol-akgun/index.php
"December 29, 2003","Aceh, Indonesia",Ersa Siregar,Rajawali Citra Televisi,Crossfire,https://cpj.org/data/people/ersa-siregar/index.php
"April 7, 1994","Kigali, Rwanda",Eudés Nshimiryo,TV Rwanda,Murder,https://cpj.org/data/people/eudes-nshimiryo/index.php
"March 12, 1993","Cucuta, Colombia",Eustorgio Colmenares,La Opinión,Murder,https://cpj.org/data/people/eustorgio-colmenares/index.php
"May 13, 14, 15, 16, 17, or 18, 2015","Padre Paraíso, Brazil",Evany José Metzker,Coruja do Vale,Murder,https://cpj.org/data/people/evany-jose-metzker/index.php
"August 29, 1998","Mindouli, Republic of Congo",Fabien Fortuné Bitoumbo,Radio Liberté,Murder,https://cpj.org/data/people/fabien-fortune-bitoumbo/index.php
"May 19, 2010","Bangkok, Thailand",Fabio Polenghi,freelance,Dangerous Assignment,https://cpj.org/data/people/fabio-polenghi/index.php
"September 16, 2014","Womé, Guinea",Facely Camara,Liberté FM,Murder,https://cpj.org/data/people/facely-camara/index.php
Unknown in 2015,"Mosul, Iraq",Fadel al-Hadidi,Mosul al-Youm; Sada al-Iraq,Murder,https://cpj.org/data/people/fadel-al-hadidi/index.php
"April 16, 2008","Gaza Strip, Israel and the Occupied Palestinian Territory",Fadel Shana,Reuters,Crossfire,https://cpj.org/data/people/fadel-shana/index.php
"April 14, 2005","Baghdad, Iraq",Fadhil Hazem Fadhil,Al-Hurriya,Crossfire,https://cpj.org/data/people/fadhil-hazem-fadhil/index.php
"June 14, 2001","Algiers, Algeria",Fadila Nejma,Echourouk,Dangerous Assignment,https://cpj.org/data/people/fadila-nejma/index.php
"October 31, 2015","Dhaka , Bangladesh",Faisal Arefin Dipan,Jagriti Prokashoni,Murder,https://cpj.org/data/people/faisal-arefin-dipan/index.php
"October 7, 2011","Lahore, Pakistan",Faisal Qureshi,The London Post,Murder,https://cpj.org/data/people/faisal-qureshi/index.php
"September 19, 2005","Basra, Iraq",Fakher Haider,The New York Times,Murder,https://cpj.org/data/people/fakher-haider/index.php
"January 15, 2007","Ramadi, Iraq",Falah Khalaf al-Diyali,Al-Sa'a,Murder,https://cpj.org/data/people/falah-khalaf-al-diyali/index.php
"June 8, 1992","Unknown, Egypt",Farag Fouda,October,Murder,https://cpj.org/data/people/farag-fouda/index.php
"October 20, 1994","Blida, Algeria",Farah Ziane,Révolution Africaine,Murder,https://cpj.org/data/people/farah-ziane/index.php
"October 30, 2015","Urfa, Turkey",Fares Hamadi,Eye on the Homeland,Murder,https://cpj.org/data/people/fares-hamadi/index.php
"September 20, 2011","Kabul, Afghanistan",Farhad Taqaddosi,Press TV,Crossfire,https://cpj.org/data/people/farhad-taqaddosi/index.php
"May 2, 2012","Galkayo, Somalia",Farhan Jeemis Abdulle,Radio Daljir and Simba Radio,Murder,https://cpj.org/data/people/farhan-jeemis-abdulle/index.php
"May 29, 1995","Chechnya, Russia",Farkhad Kerimov,Associated Press TV,Crossfire,https://cpj.org/data/people/farkhad-kerimov/index.php
"May 16, 2014","Pedro Juan Caballero, Paraguay",Fausto Gabriel Alcaraz Garay,Radio Amambay,Murder,https://cpj.org/data/people/fausto-gabriel-alcaraz-garay/index.php
"January 21, 2003","Mingora, Pakistan",Fazal Wahab,freelance,Murder,https://cpj.org/data/people/fazal-wahab/index.php
"February 26, 1996","Moscow, Russia",Felix Solovyov,freelance,Murder,https://cpj.org/data/people/felix-solovyov/index.php
"January 15, 2001","Xi'an , China",Feng Zhaoxia,Gejie Daobao,Murder,https://cpj.org/data/people/feng-zhaoxia/index.php
"February 13, 1996","Dipolog, Philippines",Ferdinand Reyes,Press Freedom,Murder,https://cpj.org/data/people/ferdinand-reyes/index.php
"June 7, 1994","Algiers, Algeria",Ferhat Cherkit,El Moudjahid,Murder,https://cpj.org/data/people/ferhat-cherkit/index.php
"July 28, 1993","Bitlis, Turkey",Ferhat Tepe,Ozgur Gundem,Murder,https://cpj.org/data/people/ferhat-tepe/index.php
"May 22, 2006","Puerto Princesa, Philippines",Fernando Batul,DZRH and DYPR,Murder,https://cpj.org/data/people/fernando-batul/index.php
"October 20, 1992","Huambo, Angola",Fernando Marcelino,Jango,Murder,https://cpj.org/data/people/fernando-marcelino/index.php
"November 23, 2009","Ampatuan, Philippines",Fernando Razon,Periodico Ini,Murder,https://cpj.org/data/people/fernando-razon/index.php
"August 29, 2013","Iligan City, Philippines",Fernando Solijon,DxLS Love Radio,Murder,https://cpj.org/data/people/fernando-solijon/index.php
"November 19 or 20, 2011","Al-Qasir, Syria",Ferzat Jarban,Freelance,Dangerous Assignment,https://cpj.org/data/people/ferzat-jarban/index.php
on an unknown date (death disclosed February 2007),"Unknown, Eritrea","Fesshaye ""Joshua"" Yohannes",Setit,Dangerous Assignment,https://cpj.org/data/people/fesshaye-yohannes/index.php
"July 5, 2013","Damascus, Syria",Fidaa al-Baali,Orient News,Crossfire,https://cpj.org/data/people/fidaa-al-baali/index.php
"April 18, 1999","Anambra, Nigeria",Fidelis Ikwuebe,Freelancer,Murder,https://cpj.org/data/people/fidelis-ikwuebe/index.php
"July 2, 2015","Miahuatlán de Porfirio Díaz, Oaxaca, Mexico",Filadelfo Sánchez Sarmiento,La Favorita 103.3FM La Voz de la Sierra Sur,Murder,https://cpj.org/data/people/filadelfo-sanchez-sarmiento/index.php
"June 17, 2007","Baghdad, Iraq",Filaih Wuday Mijthab,Al-Sabah,Murder,https://cpj.org/data/people/filaih-wuday-mijthab/index.php
"December, 1992","an unknown place, Tajikistan",Filolisho Khilvatshoev,Payomi Dushanbe,Murder,https://cpj.org/data/people/filolisho-khilvatshoev/index.php
"May 1, 2015","Mosul, Iraq",Firas al-Baher,Nineveh al-Ghad,Murder,https://cpj.org/data/people/firas-al-baher/index.php
"September 20, 2005","Mosul, Iraq",Firas Maadidi,As-Saffir and Al-Masar,Murder,https://cpj.org/data/people/firas-maadidi/index.php
"January 20, 2014","Khalidiya, Iraq",Firas Mohammed Attiyah,Fallujah TV,Dangerous Assignment,https://cpj.org/data/people/firas-mohammed-attiyah/index.php
"April 27, 2001","Tumaco, Colombia",Flavio Bedoya,Voz,Murder,https://cpj.org/data/people/flavio-bedoya/index.php
"September 10, 2015","Pitalito, Colombia",Flor Alba Núñez Vargas,Red Noticias and La Preferida Estereo,Murder,https://cpj.org/data/people/flor-alba-nunez-vargas/index.php
January 2009,"Nyanza Province, Kenya",Francis Nyaruri,Weekly Citizen,Murder,https://cpj.org/data/people/francis-nyaruri/index.php
"May 1, 1994","an area near Mostar, Bosnia",Francis Tomasic,freelance,Crossfire,https://cpj.org/data/people/francis-tomasic/index.php
"August 31, 2004","Matamoros , Mexico",Francisco Arratia Saldierna,freelance,Murder,https://cpj.org/data/people/francisco-arratia-saldierna/index.php
"November 8, 1997","Majagual, Colombia",Francisco Castro Menco,Fundación Cultural,Murder,https://cpj.org/data/people/francisco-castro-menco/index.php
"October 18, 2010","Caicó, Brazil",Francisco Gomes de Medeiros,Radio Caicó,Murder,https://cpj.org/data/people/francisco-gomes-de-medeiros/index.php
"June 22, 2004","Tijuana, Mexico",Francisco Javier Ortiz Franco,Zeta,Murder,https://cpj.org/data/people/francisco-javier-ortiz-franco/index.php
"January 1, 1993","San Salvado, El Salvador",Francisco Parada,Unknown,Murder,https://cpj.org/data/people/francisco-parada/index.php
"March 18, 1997","Cartagena, Colombia",Freddy Elles Ahumada,Freelancer,Murder,https://cpj.org/data/people/freddy-elles-ahumada/index.php
"August 16, 1996","Yogyakarta, Indonesia",Fuad Muhammad Syafruddin,Bernas,Murder,https://cpj.org/data/people/fuad-muhammad-syafruddin/index.php
"November 19, 1997","Hyderabad, India",G. Raja Sekhar,Eenadu Television (E-TV),Dangerous Assignment,https://cpj.org/data/people/g-raja-sekhar/index.php
"November 11, 1995","Chinu, Colombia",Gabriel Cruz Díaz,El Heraldo,Murder,https://cpj.org/data/people/gabriel-cruz-diaz/index.php
"June 13, 1999","Kosovo, Yugoslavia",Gabriel Gruener,Stern,Crossfire,https://cpj.org/data/people/gabriel-gruener/index.php
"August 18, 1992","Ghadir, Lebanon",Gabrielle Marian Hulsen,Freelancer,Murder,https://cpj.org/data/people/gabrielle-marian-hulsen/index.php
"December 15, 2011","Makhachkala, Russia",Gadzhimurad Kamalov,Chernovik,Murder,https://cpj.org/data/people/gadzhimurad-kamalov/index.php
"September 5, 2017","Bangalore, India",Gauri Lankesh,Gauri Lankesh Patrike,Murder,https://cpj.org/data/people/gauri-lankesh/index.php
"November 17, 2005","Faridpur, Bangladesh",Gautam Das,Samakal,Murder,https://cpj.org/data/people/gautam-das/index.php
"December 12, 2005","Beirut, Lebanon",Gebran Tueni,Al-Nahar,Murder,https://cpj.org/data/people/gebran-tueni/index.php
"November 6, 2011","Rio de Janeiro, Brazil",Gelson Domingos da Silva,Bandeirantes TV,Dangerous Assignment,https://cpj.org/data/people/gelson-domingos-da-silva/index.php
"November 12, 2004","Jolo, Philippines",Gene Boyd Lumawag,MindaNews,Murder,https://cpj.org/data/people/gene-boyd-lumawag/index.php
"December 22, 2009","Almaty, Kazakhstan",Gennady Pavlyuk (Ibragim Rustambek),Bely Parokhod,Murder,https://cpj.org/data/people/gennady-pavlyuk-ibragim-rustambek/index.php
"September 19, 1992","Mostar, Bosnia",Georg Friderich Pfuhl,FADMST,Crossfire,https://cpj.org/data/people/georg-friderich-pfuhl/index.php
"September 10, 2015","Sankore, Ghana",George Abanga,"Success FM, Peace FM",Murder,https://cpj.org/data/people/george-abanga/index.php
"June 19, 2006","Mindanao, Philippines",George Vigo,Union of Catholic Asian News,Murder,https://cpj.org/data/people/george-vigo/index.php
"January 7, 2015","Paris, France",Georges Wolinski,Charlie Hebdo,Murder,https://cpj.org/data/people/georges-wolinski/index.php
"May 26, 1998","Gali, Georgia",Georgy Chanya,Resonants,Crossfire,https://cpj.org/data/people/georgy-chanya/index.php
"September 16, 2000","Kyiv, Ukraine",Georgy Gongadze,Ukrainska Pravda,Murder,https://cpj.org/data/people/georgy-gongadze/index.php
"July 26, 2001","Tbilisi, Georgia",Georgy Sanaya,Rustavi-2,Murder,https://cpj.org/data/people/georgy-sanaya/index.php
"June 28, 2018","Annapolis, Maryland, USA",Gerald Fischman,Capital Gazette,Murder,https://cpj.org/data/people/gerald-fischman/index.php
"March 20, 1997","Cali, Colombia",Gerardo Bedoya Borrero,El País,Murder,https://cpj.org/data/people/gerardo-bedoya-borrero/index.php
"March 5, 2015","Ponta Porã, Brazil",Gerardo Ceferino Servían,Ciudad Nueva FM,Murder,https://cpj.org/data/people/gerardo-ceferino-servian/index.php
"January 24, 2011","Puerto Princesa City, Philippines",Gerardo Ortega,DWAR,Murder,https://cpj.org/data/people/gerardo-ortega/index.php
"April 22, 2010","Yaoundé, Cameroon",Germain Cyrille Ngota Ngota,Cameroon Express,Dangerous Assignment,https://cpj.org/data/people/germain-cyrille-ngota-ngota/index.php
"February 16, 2014","Oïcha, Democratic Republic of the Congo",Germain Kennedy Mumbere Muliwavyo,Radio Télévision Muungano,Crossfire,https://cpj.org/data/people/germain-kennedy-mumbere-muliwavyo/index.php
"March 10, 2013","Damascus, Syria",Ghaith Abd al-Jawad,Qaboun Media Center,Crossfire,https://cpj.org/data/people/ghaith-abd-al-jawad/index.php
"February 1, 2004","Arbil, Iraq",Gharib Mohamed Salih,Kurdistan TV,Crossfire,https://cpj.org/data/people/gharib-mohamed-salih/index.php
"April 30, 2018","Kabul, Afghanistan",Ghazi Rasooli,1TV,Murder,https://cpj.org/data/people/ghazi-rasooli/index.php
"November 2, 2013","Kidal, Mali",Ghislaine Dupont,Radio France Internationale,Murder,https://cpj.org/data/people/ghislaine-dupont/index.php
"August 29, 1994","Kangan, India",Ghulam Muhammad Lone,Freelancer,Murder,https://cpj.org/data/people/ghulam-muhammad-lone/index.php
"August 28, 2014","Quetta, Pakistan",Ghulam Rasool,Online International News Network,Murder,https://cpj.org/data/people/ghulam-rasool/index.php
"May 9 or 10, 2010","Wahi Pandhi, Pakistan",Ghulam Rasool Birhamani,Daily Sindhu Hyderabad,Murder,https://cpj.org/data/people/ghulam-rasool-birhamani/index.php
"April 10, 1996","Pampore, Kashmir, India",Ghulam Rasool Sheikh,Rehnuma-e-Kashmir and Saffron Times,Murder,https://cpj.org/data/people/ghulam-rasool-sheikh/index.php
"April 8, 1994","Kigali, Rwanda",Gilbert Munana,Le Flambeau,Murder,https://cpj.org/data/people/gilbert-munana/index.php
"January 11, 2012","Homs, Syria",Gilles Jacquier,France 2,Dangerous Assignment,https://cpj.org/data/people/gilles-jacquier/index.php
"November 23, 2009","Ampatuan, Philippines",Gina Dela Cruz,Saksi News,Murder,https://cpj.org/data/people/gina-dela-cruz/index.php
"August 6, 2015","Camocim, Brazil",Gleydson Carvalho,Radio Liberdade FM 90.3,Murder,https://cpj.org/data/people/gleydson-carvalho/index.php
"April 9, 1994","Kigali, Rwanda",Gratien Karambizi,Imbaga,Murder,https://cpj.org/data/people/gratien-karambizi/index.php
"September 21, 1992","Zamboanga City, Philippines",Greg Hapalla,DXAS,Murder,https://cpj.org/data/people/greg-hapalla/index.php
"Between February 5 and 11, 2014","Las Choapas, Mexico",Gregorio Jiménez de la Cruz,Notisur and Liberal del Sur,Murder,https://cpj.org/data/people/gregorio-jimenez-de-la-cruz/index.php
"November 28, 2004","Escuinapa, Mexico",Gregorio Rodríguez Hernández,El Debate,Murder,https://cpj.org/data/people/gregorio-rodriguez-hernandez/index.php
"August 10, 2008","Tskhinvali, Georgia",Grigol Chikhladze,Caucasus Images,Crossfire,https://cpj.org/data/people/grigol-chikhladze/index.php
"May 29, 1993","central Bosnia, Bosnia",Guido Puletti,Freelancer,Crossfire,https://cpj.org/data/people/guido-puletti/index.php
"November 13, 2015","Paris, France",Guillaume Barreau-Decherf,Freelance,Dangerous Assignment,https://cpj.org/data/people/guillaume-barreau-decherf/index.php
"April 28, 2003","Neiva, Colombia",Guillermo Bravo Vega,Alpevisión Radio,Murder,https://cpj.org/data/people/guillermo-bravo-vega/index.php
"November 27, 2012","Sincelejo, Colombia",Guillermo Quiroz Delgado,Freelance,Dangerous Assignment,https://cpj.org/data/people/guillermo-quiroz-delgado/index.php
"November 28, 2001","Liepaja, Latvia",Gundars Matiss,Kurzeme Vards,Murder,https://cpj.org/data/people/gundars-matiss/index.php
"November 15, 2000","Pivijay, Colombia",Gustavo Rafael Ruiz Cantillo,Radio Galeón,Murder,https://cpj.org/data/people/gustavo-rafael-ruiz-cantillo/index.php
"March 20, 2006","Montería, Colombia",Gustavo Rojas Gabalo,Radio Panzenú,Murder,https://cpj.org/data/people/gustavo-rojas-gabalo/index.php
"September 16, 1999","Valledupar, Colombia",Guzmán Quintero Torres,El Pilón,Murder,https://cpj.org/data/people/guzman-quintero-torres/index.php
"September 7, 2003","Jyamire, Sindhupalchowk, Nepal",Gyanendra Khadka,Rastriya Samachar Samiti,Murder,https://cpj.org/data/people/gyanendra-khadka/index.php
"August 14, 2013","Cairo, Egypt",Habiba Ahmed Abd Elaziz,Al-Jazeera,Crossfire,https://cpj.org/data/people/habiba-ahmed-abd-elaziz/index.php
"May 31, 2017","Kabul, Afghanistan",Habibollah Hosseinzadeh,Press TV,Dangerous Assignment,https://cpj.org/data/people/habibollah-hosseinzadeh/index.php
"September 8, 2011","Baghdad, Iraq",Hadi al-Mahdi,Freelance,Murder,https://cpj.org/data/people/hadi-al-mahdi/index.php
"June 8, 1992","Diyarbakir, Turkey",Hafiz Akdemir,Ozgur Gundem,Murder,https://cpj.org/data/people/hafiz-akdemir/index.php
"May 22, 2008","Buhrez, Iraq",Haidar al-Hussein,Al-Sharq,Murder,https://cpj.org/data/people/haidar-al-hussein/index.php
"March 10, 2009","Abu Ghraib, Iraq",Haidar Hashim Suhail,Al-Baghdadia TV,Crossfire,https://cpj.org/data/people/haidar-hashim-suhail/index.php
"February 9, 1992","Diyarbakir, Turkey",Halit Gungen,2000'e Dogru,Murder,https://cpj.org/data/people/halit-gungen/index.php
"June 26, 2007","Baghdad, Iraq",Hamid Abed Sarhan,freelance,Murder,https://cpj.org/data/people/hamid-abed-sarhan/index.php
"March 17, 2007","Baghdad, Iraq",Hamid al-Duleimi,Nahrain,Murder,https://cpj.org/data/people/hamid-al-duleimi/index.php
"December 2, 1995","Algiers, Algeria",Hamid Mahiout,Liberté,Murder,https://cpj.org/data/people/hamid-mahiout/index.php
"September 11, 2012","Ratanakiri province, Cambodia",Hang Serei Odom,Virakchun Khmer Daily,Murder,https://cpj.org/data/people/hang-serei-odom/index.php
"November 23, 2009","Ampatuan, Philippines",Hannibal Cachuela,Punto News,Murder,https://cpj.org/data/people/hannibal-cachuela/index.php
"July 12, 1993","Mogadishu, Somalia",Hansi Krauss,Associated Press,Murder,https://cpj.org/data/people/hansi-krauss/index.php
"July 7, 2017","Imam Gharbi, near Mosul, Iraq",Harb Hazzah al-Duleimi,Hona Salaheddin,Crossfire,https://cpj.org/data/people/harb-hazzah-al-duleimi/index.php
"November 19, 2001","Nangarhar Province, Afghanistan",Harry Burton,Reuters Television,Murder,https://cpj.org/data/people/harry-burton/index.php
"July 28, 2005","Freetown, Sierra Leone",Harry Yansaneh,For Di People,Murder,https://cpj.org/data/people/harry-yansaneh/index.php
"March 2, 2002","Khulna, Bangladesh",Harunur Rashid,Dainik Purbanchal,Murder,https://cpj.org/data/people/harunur-rashid/index.php
"January 22, 2016","Dahyan, Saada Province, Yemen",Hashim al-Hamran,Al-Masirah TV,Crossfire,https://cpj.org/data/people/hashim-al-hamran/index.php
"January 12, 2016","Baquba, Diyala province, Iraq",Hassan al-Anbaki,Al-Sharqiya,Murder,https://cpj.org/data/people/hassan-al-anbaki/index.php
"September 24, 2011","Sana'a, Yemen",Hassan al-Wadhaf,Arabic Media Agency,Dangerous Assignment,https://cpj.org/data/people/hassan-al-wadhaf/index.php
"March 12, 1994","Algiers, Algeria",Hassan Benaouda,Algerian Television (ENTV),Murder,https://cpj.org/data/people/hassan-benaouda/index.php
"January 28, 2008","Kismayo, Somalia",Hassan Kafi Hared,Somali National News Agency,Dangerous Assignment,https://cpj.org/data/people/hassan-kafi-hared/index.php
"January 1, 2009","Afgoye, Somalia",Hassan Mayow Hassan,Radio Shabelle,Murder,https://cpj.org/data/people/hassan-mayow-hassan/index.php
"January 28, 2012","Mogadishu, Somalia",Hassan Osman Abdi,Shabelle Media Network,Murder,https://cpj.org/data/people/hassan-osman-abdi/index.php
"September 21, 2012","Mogadishu, Somalia",Hassan Yusuf Absuge,Radio Maanta,Murder,https://cpj.org/data/people/hassan-yusuf-absuge/index.php
"December 3, 2009","Mogadishu, Somalia",Hassan Zubeyr,Al-Arabiya,Crossfire,https://cpj.org/data/people/hassan-zubeyr/index.php
"August 10, 2012","Al-Tal, Syria",Hatem Abu Yehia,Al-Ikhbariya,Unknown,https://cpj.org/data/people/hatem-abu-yehia/index.php
"October 13, 2017","Abu Fas Village, Syria",Hawker Faisal Mohammed,Hawar News Agency (ANHA),Crossfire,https://cpj.org/data/people/hawker-faisal-mohammed/index.php
"June 16, 2006","Miran Shah, Pakistan",Hayatullah Khan,freelance,Murder,https://cpj.org/data/people/hayatullah-khan/index.php
"February 1, 2004","Arbil, Iraq",Haymin Mohamed Salih,Qulan TV,Crossfire,https://cpj.org/data/people/haymin-mohamed-salih/index.php
"July 24, 2003","Guatemala City, Guatemala",Héctor Ramírez,Noti7 and Radio Sonora,Dangerous Assignment,https://cpj.org/data/people/hector-ramirez/index.php
"April 12, 2002","outside of Cali, Colombia",Héctor Sandoval,RCN Televisión,Crossfire,https://cpj.org/data/people/hector-sandoval/index.php
"November 23, 2009","Ampatuan, Philippines",Henry Araneta,DZRH,Murder,https://cpj.org/data/people/henry-araneta/index.php
"April 29, 2006","Probolinggo, Indonesia",Herliyanto,Radar Surabaya and Jimber News Visioner,Murder,https://cpj.org/data/people/herliyanto/index.php
"April 11, 1999","El Banco, Colombia",Hernando Rangel Moreno,Freelancer,Murder,https://cpj.org/data/people/hernando-rangel-moreno/index.php
"November 13, 2004","Kalibo, Philippines",Herson Hinolan,Bombo Radyo,Murder,https://cpj.org/data/people/herson-hinolan/index.php
"September 17, 2005","Mosul, Iraq",Hind Ismail,As-Saffir,Murder,https://cpj.org/data/people/hind-ismail/index.php
"December 3, 2015","Mogadishu, Somalia",Hindia Haji Mohamed,"Radio Mogadishu, Somali National TV",Murder,https://cpj.org/data/people/hindia-haji-mohamed/index.php
"April 10, 2010","Bangkok, Thailand",Hiro Muramoto,Reuters,Dangerous Assignment,https://cpj.org/data/people/hiro-muramoto/index.php
"July 12, 1993","Mogadishu, Somalia",Hosea Maina,Reuters,Murder,https://cpj.org/data/people/hosea-maina/index.php
"November 19, 2012","Ras al-Ain, Syria",Hozan Abdel Halim Mahmoud,Freelance,Crossfire,https://cpj.org/data/people/hozan-abdel-halim-mahmoud/index.php
"January 19, 2007","Istanbul, Turkey",Hrant Dink,Agos,Murder,https://cpj.org/data/people/hrant-dink/index.php
"April 16, 2015","Aleppo, Syria",Humam Najjar (Abu Yazan al-Halabi),Aleppo Today,Crossfire,https://cpj.org/data/people/humam-najjar-abu-yazan-al-halabi/index.php
"June 24, 2004","Khulna, Bangladesh",Humayun Kabir,Janmabhumi,Murder,https://cpj.org/data/people/humayun-kabir/index.php
"August 9, 1992","Ceylanpinar, Turkey",Huseyin Deniz,Ozgur Gundem,Murder,https://cpj.org/data/people/huseyin-deniz/index.php
"November 17, 2017","Kabul, Afghanistan",Hussain Nazari,Rah-E-Farda Radio and Television,Dangerous Assignment,https://cpj.org/data/people/hussain-nazari/index.php
"November 20, 2012","Gaza Strip, Israel and the Occupied Palestinian Territory",Hussam Salama,Al-Aqsa,Crossfire,https://cpj.org/data/people/hussam-salama/index.php
"March 14, 2005","Mosul, Iraq",Hussam Sarsam,Kurdistan TV,Murder,https://cpj.org/data/people/hussam-sarsam/index.php
"January 28, 2007","Baghdad, Iraq",Hussein al-Zubaidi,Al-Ahali,Murder,https://cpj.org/data/people/hussein-al-zubaidi/index.php
"October 12, 2006","Baghdad, Iraq",Hussein Ali,Al-Shaabiya,Murder,https://cpj.org/data/people/hussein-ali/index.php
"November 23, 2009","Ampatuan, Philippines",Ian Subang,Socsargen Today,Murder,https://cpj.org/data/people/ian-subang/index.php
"October 30, 2015","Urfa, Turkey",Ibrahim Abd al-Qader,"Eye on the Homeland, Raqqa is Being Slaughtered Silently",Murder,https://cpj.org/data/people/ibrahim-abd-al-qader/index.php
"May 17, 2018","Saida, Syria",Ibrahim al-Munjar,Sy24,Murder,https://cpj.org/data/people/ibrahim-al-munjar/index.php
"July 10, 1993","Sarajevo, Bosnia",Ibrahim Goskel,Freelancer,Dangerous Assignment,https://cpj.org/data/people/ibrahim-goskel/index.php
"July 11, 2016","Tarmanin, Idlib, Syria",Ibrahim Omar,Al Jazeera,Crossfire,https://cpj.org/data/people/ibrahim-omar/index.php
"June 13, 2006","Fallujah, Iraq",Ibrahim Seneid,Al-Bashara,Murder,https://cpj.org/data/people/ibrahim-seneid/index.php
"July 7, 2001","Slavyansk, Ukraine",Igor Aleksandrov,Tor,Murder,https://cpj.org/data/people/igor-aleksandrov/index.php
"October 3, 1993","Moscow, Russia",Igor Belozyorov,Ostankino State Broadcasting Company,Dangerous Assignment,https://cpj.org/data/people/igor-belozyorov/index.php
"July 16, 2000","Moscow, Russia",Igor Domnikov,Novaya Gazeta,Murder,https://cpj.org/data/people/igor-domnikov/index.php
"May 10, 1996","Cherkassy, Ukraine",Igor Hrushetsky,Freelancer,Murder,https://cpj.org/data/people/igor-hrushetsky/index.php
